id,ranking
2964,218
2306,219
3281,220
5550,221
7832,222
7014,223
6515,224
8738,225
3328,226
4358,227
3757,228
1967,229
3824,230
5645,231
1433,232
3669,233
1271,234
4886,235
2196,236
8439,237
3106,238
2657,239
6336,240
5230,241
7407,242
4559,243
8000,244
8752,245
4136,246
2708,247
8620,248
143,249
5721,250
824,251
4008,252
9703,253
8886,254
7956,255
5692,256
445,257
3703,258
8194,259
1578,260
2033,261
5890,262
2613,263
9959,264
3712,265
6817,266
4176,267
9782,268
8146,269
8241,270
1371,271
9633,272
4236,273
7557,274
5734,275
2201,276
6694,277
385,278
1579,279
6764,280
7009,281
6432,282
9674,283
14,284
5727,285
116,286
2759,287
7618,288
3685,289
2253,290
8811,291
1854,292
9648,293
8562,294
920,295
6472,296
3074,297
5978,298
8493,299
4936,300
7496,301
2894,302
7661,303
7535,304
2884,305
8779,306
2319,307
5204,308
5785,309
2120,310
1775,311
9907,312
404,313
7138,314
2426,315
5015,316
9912,317
3503,318
9339,319
3437,320
4231,321
1603,322
1093,323
744,324
6182,325
6949,326
2478,327
8251,328
843,329
8162,330
8350,331
6667,332
3555,333
8994,334
5149,335
2169,336
8889,337
8527,338
2891,339
4019,340
8842,341
931,342
9844,343
4387,344
838,345
1438,346
8041,347
7622,348
9452,349
4752,350
3130,351
6971,352
9921,353
6842,354
2267,355
4415,356
8532,357
4567,358
2676,359
4240,360
4380,361
6943,362
706,363
7331,364
9373,365
2889,366
9760,367
6932,368
8465,369
6856,370
6666,371
9989,372
9385,373
8023,374
959,375
4435,376
7601,377
1911,378
2601,379
6674,380
5362,381
9392,382
2836,383
7257,384
9379,385
9819,386
9479,387
8638,388
504,389
4094,390
2549,391
8217,392
7015,393
883,394
3812,395
7990,396
4612,397
8870,398
3791,399
6345,400
1183,401
1358,402
9417,403
4004,404
3139,405
4788,406
2180,407
8617,408
2000,409
2909,410
7338,411
1016,412
355,413
2540,414
4015,415
2844,416
4333,417
22,418
9784,419
1609,420
1656,421
2717,422
8260,423
593,424
180,425
3112,426
8618,427
3308,428
9086,429
1759,430
5610,431
6629,432
2208,433
998,434
2608,435
6015,436
3094,437
6490,438
9413,439
8731,440
9332,441
5331,442
8426,443
5798,444
4424,445
7928,446
6720,447
8630,448
4393,449
9832,450
6663,451
7352,452
7457,452
5623,454
121,455
2368,456
5615,457
3423,458
8230,459
3648,460
3749,461
5261,462
7079,463
9926,464
3816,465
382,466
9325,467
686,468
1710,469
3706,470
6871,471
5572,472
8325,473
5524,474
499,475
98,476
6581,477
5860,478
1865,479
4500,480
8320,481
1496,482
4590,483
8420,484
8044,485
6876,486
9678,487
2276,488
4786,489
6575,490
4785,491
5971,492
3999,493
4075,494
9064,495
4619,496
638,497
5255,498
9258,499
1931,500
9897,501
8700,502
2900,503
9925,504
501,505
5506,506
8733,507
9037,508
8079,509
6819,510
7295,511
5274,512
3801,513
9237,514
5211,515
7923,516
5719,517
8882,518
4686,519
7698,520
7018,521
7866,522
7973,523
9594,524
8670,525
5306,526
5298,527
6165,528
4596,529
5898,530
9454,531
5118,532
3733,533
5049,534
3556,535
9461,536
9201,537
5541,538
6875,539
7563,540
6250,541
9764,542
1636,543
9864,544
7198,545
2923,546
2705,547
3105,548
3176,549
1037,550
8096,551
5656,552
4627,553
5407,553
8920,555
1669,556
621,557
1821,558
3698,559
4211,560
2588,561
4456,562
6262,563
5486,564
2049,565
1092,566
6413,567
7953,568
5583,569
2795,570
6062,571
4677,572
6043,573
7763,574
2419,575
5292,576
6814,577
5746,578
5675,579
1493,580
1536,581
6869,582
8248,583
5545,584
1606,585
8071,586
2678,587
7134,588
5642,589
1193,590
4239,591
2218,592
4458,593
5344,594
4716,595
8066,596
2725,597
1968,598
7975,599
9376,600
5101,601
2985,602
6711,603
7944,604
2639,605
8899,606
1954,607
7,608
7977,609
9329,610
5235,611
5125,612
2800,613
1703,614
8036,615
3700,616
249,617
2054,618
2646,619
9211,620
784,621
994,622
9948,623
2130,624
5493,625
5509,626
7163,627
6277,628
925,629
6014,630
1605,631
9316,632
9019,633
3096,634
3795,635
605,636
2096,637
7707,638
4860,639
7728,640
2605,641
5841,642
1513,643
3852,644
2715,645
8847,646
9097,647
4237,648
6638,649
4920,650
6468,651
9032,652
4880,653
3858,654
2112,655
7679,656
7237,657
8672,658
7420,659
7244,660
6502,661
7182,662
8844,663
4987,664
6957,665
7473,666
8187,667
2187,668
6252,669
7648,670
8770,671
1851,672
6030,673
168,674
9852,675
2377,676
7789,677
6759,678
7929,679
6723,680
5601,681
3267,682
6266,683
3705,684
8402,685
5316,686
4468,687
8222,688
7884,689
2843,690
8101,691
2515,692
9495,693
1483,694
4581,695
9112,696
7649,697
9641,698
2741,699
9151,700
1635,701
7007,702
9485,703
225,704
2704,705
8900,706
8392,707
9240,708
3263,709
9063,710
5168,711
7415,712
3865,713
944,714
7663,715
173,716
8966,717
9701,718
8035,719
9036,720
5001,721
9052,722
8732,723
8985,724
9039,725
8010,726
9317,727
6577,728
1831,729
3017,730
9757,731
9583,732
7398,733
7945,734
4637,735
1198,736
2362,737
7976,738
4678,739
1600,740
9162,741
4812,742
4159,743
9054,744
